Time,Sort,Types,Sequences,N,
0.001252,QuickSort,Serial,1,10000,
0.013005,QuickSort,Serial,1,100000,
0.001209,QuickSort,Serial,2,10000,
0.014372,QuickSort,Serial,2,100000,
0.001095,QuickSort,Serial,3,10000,
0.013311,QuickSort,Serial,3,100000,
0.001238,QuickSort,Serial,4,10000,
0.014061,QuickSort,Serial,4,100000,
0.0016,QuickSort,Parallel,1,10000,
0.011915,QuickSort,Parallel,1,100000,
0.001115,QuickSort,Parallel,2,10000,
0.011938,QuickSort,Parallel,2,100000,
0.001163,QuickSort,Parallel,3,10000,
0.011916,QuickSort,Parallel,3,100000,
0.001216,QuickSort,Parallel,4,10000,
0.011916,QuickSort,Parallel,4,100000,
0.211199,EnumerationSort,Serial,1,10000,
10.825174,EnumerationSort,Serial,1,100000,
0.214033,EnumerationSort,Serial,2,10000,
10.552899,EnumerationSort,Serial,2,100000,
0.213683,EnumerationSort,Serial,3,10000,
10.553925,EnumerationSort,Serial,3,100000,
0.211932,EnumerationSort,Serial,4,10000,
10.572657,EnumerationSort,Serial,4,100000,
0.135486,EnumerationSort,Parallel,1,10000,
5.422981,EnumerationSort,Parallel,1,100000,
0.1456821,EnumerationSort,Parallel,2,10000,
5.300767,EnumerationSort,Parallel,2,100000,
0.1412354,EnumerationSort,Parallel,3,10000,
5.277323,EnumerationSort,Parallel,3,100000,
0.1358876,EnumerationSort,Parallel,4,10000,
5.305882,EnumerationSort,Parallel,4,100000,
0.001908,MergeSort,Serial,1,10000,
0.019267,MergeSort,Serial,1,100000,
0.002017,MergeSort,Serial,2,10000,
0.019755,MergeSort,Serial,2,100000,
0.00178,MergeSort,Serial,3,10000,
0.018259,MergeSort,Serial,3,100000,
0.001843,MergeSort,Serial,4,10000,
0.020394,MergeSort,Serial,4,100000,
0.001803,MergeSort,Parallel,1,10000,
0.017518,MergeSort,Parallel,1,100000,
0.001734,MergeSort,Parallel,2,10000,
0.017493,MergeSort,Parallel,2,100000,
0.001728,MergeSort,Parallel,3,10000,
0.017466,MergeSort,Parallel,3,100000,
0.001771,MergeSort,Parallel,4,10000,
0.017989,MergeSort,Parallel,4,100000,
